V3	V4	V6	name	time
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259043/MQ220906-75_S75_L001_R1_001.fastq.gz	MQ220906-75_S75_L001_R1_001.fastq.gz	MQ22090675	MQ22090675	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259043/MQ220906-75_S75_L001_R2_001.fastq.gz	MQ220906-75_S75_L001_R2_001.fastq.gz	MQ22090675	MQ22090675	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259044/MQ220906-78_S78_L001_R1_001.fastq.gz	MQ220906-78_S78_L001_R1_001.fastq.gz	MQ22090678	MQ22090678	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259044/MQ220906-78_S78_L001_R2_001.fastq.gz	MQ220906-78_S78_L001_R2_001.fastq.gz	MQ22090678	MQ22090678	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259047/MQ220906-82_S82_L001_R1_001.fastq.gz	MQ220906-82_S82_L001_R1_001.fastq.gz	MQ22090682	MQ22090682	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259047/MQ220906-82_S82_L001_R2_001.fastq.gz	MQ220906-82_S82_L001_R2_001.fastq.gz	MQ22090682	MQ22090682	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259048/MQ220906-83_S83_L001_R1_001.fastq.gz	MQ220906-83_S83_L001_R1_001.fastq.gz	MQ22090683	MQ22090683	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259048/MQ220906-83_S83_L001_R2_001.fastq.gz	MQ220906-83_S83_L001_R2_001.fastq.gz	MQ22090683	MQ22090683	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259051/MQ220906-86_S86_L001_R1_001.fastq.gz	MQ220906-86_S86_L001_R1_001.fastq.gz	MQ22090686	MQ22090686	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259051/MQ220906-86_S86_L001_R2_001.fastq.gz	MQ220906-86_S86_L001_R2_001.fastq.gz	MQ22090686	MQ22090686	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259053/MQ220906-88_S88_L001_R1_001.fastq.gz	MQ220906-88_S88_L001_R1_001.fastq.gz	MQ22090688	MQ22090688	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259053/MQ220906-88_S88_L001_R2_001.fastq.gz	MQ220906-88_S88_L001_R2_001.fastq.gz	MQ22090688	MQ22090688	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259054/MQ220906-89_S89_L001_R1_001.fastq.gz	MQ220906-89_S89_L001_R1_001.fastq.gz	MQ22090689	MQ22090689	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259054/MQ220906-89_S89_L001_R2_001.fastq.gz	MQ220906-89_S89_L001_R2_001.fastq.gz	MQ22090689	MQ22090689	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259055/MQ220906-90_S90_L001_R1_001.fastq.gz	MQ220906-90_S90_L001_R1_001.fastq.gz	MQ22090690	MQ22090690	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259055/MQ220906-90_S90_L001_R2_001.fastq.gz	MQ220906-90_S90_L001_R2_001.fastq.gz	MQ22090690	MQ22090690	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259057/MQ220906-92_S92_L001_R1_001.fastq.gz	MQ220906-92_S92_L001_R1_001.fastq.gz	MQ22090692	MQ22090692	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259057/MQ220906-92_S92_L001_R2_001.fastq.gz	MQ220906-92_S92_L001_R2_001.fastq.gz	MQ22090692	MQ22090692	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259058/MQ220906-93_S93_L001_R1_001.fastq.gz	MQ220906-93_S93_L001_R1_001.fastq.gz	MQ22090693	MQ22090693	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259058/MQ220906-93_S93_L001_R2_001.fastq.gz	MQ220906-93_S93_L001_R2_001.fastq.gz	MQ22090693	MQ22090693	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259061/MQ220906-96_S96_L001_R1_001.fastq.gz	MQ220906-96_S96_L001_R1_001.fastq.gz	MQ22090696	MQ22090696	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259061/MQ220906-96_S96_L001_R2_001.fastq.gz	MQ220906-96_S96_L001_R2_001.fastq.gz	MQ22090696	MQ22090696	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259062/MQ220906-97_S97_L001_R1_001.fastq.gz	MQ220906-97_S97_L001_R1_001.fastq.gz	MQ22090697	MQ22090697	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259062/MQ220906-97_S97_L001_R2_001.fastq.gz	MQ220906-97_S97_L001_R2_001.fastq.gz	MQ22090697	MQ22090697	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259065/MQ220906-100_S100_L001_R1_001.fastq.gz	MQ220906-100_S100_L001_R1_001.fastq.gz	MQ220906100	MQ220906100	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259065/MQ220906-100_S100_L001_R2_001.fastq.gz	MQ220906-100_S100_L001_R2_001.fastq.gz	MQ220906100	MQ220906100	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259066/MQ220906-101_S101_L001_R1_001.fastq.gz	MQ220906-101_S101_L001_R1_001.fastq.gz	MQ220906101	MQ220906101	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259066/MQ220906-101_S101_L001_R2_001.fastq.gz	MQ220906-101_S101_L001_R2_001.fastq.gz	MQ220906101	MQ220906101	T2
